componente_id;componente_tipo_id;tipo;conexao_tipo_id;forma;tipo_base;distancia_base;compr_padrao_parafuso;larg_padrao_parafuso;sulco;diametro_base;diametro_borda;especificidade;orientatacao;peso
C-0008;CT-018;Singular;B-005;Redonda;Conjugada;17;NA;NA;Não;22;NA;Sim;Sim;0.032
C-0009;CT-018;Singular;B-004;Redonda;Conjugada;13;NA;NA;Não;25;NA;Não;Sim;0.033
C-0020;CT-018;Singular;B-005;Redonda;Rosca;28.4;NA;NA;Não;35;NA;Sim;Sim;0.07
C-0054;CT-018;Singular;B-005;Redonda;Rosca;27.1;NA;NA;Não;NA;NA;Sim;Sim;0.18
C-0071;CT-018;Singular;B-005;Redonda;Pressao;20;NA;NA;Não;30;23;Sim;Sim;0.08
C-0082;CT-018;Singular;B-002;Redonda;Rosca;15.65;NA;NA;Não;NA;NA;Sim;Sim;0.043
C-0083;CT-019;NA;B-012;NA;NA;36.5;77.8;42.9;Não;NA;NA;Não;Sim;2.093
C-0084;CT-019;NA;B-012;NA;NA;36.5;88.9;50.8;Não;NA;NA;Não;Sim;2.601
C-0111;CT-018;Singular;B-009;Redonda;Pressao;19;NA;NA;Não;35;30;Sim;Sim;0.1
C-0117;CT-018;Singular;B-005;Redonda;Rosca;22;NA;NA;Não;25.4;NA;Não;Sim;0.081
C-0151;CT-018;Singular;B-005;Redonda;Rosca;17.9;NA;NA;Não;NA;NA;Sim;Sim;0.047
C-0161;CT-020;NA;9999;NA;NA;19.2;76.2;NA;Não;NA;NA;Não;Sim;0.559
C-0165;CT-018;Singular;B-005;Redonda;Pressao;12;NA;NA;Não;30;25;Não;Sim;0.046
C-0177;CT-018;Singular;B-005;Redonda;Rosca;24;NA;NA;Não;NA;NA;Sim;Sim;0.122
C-0199;CT-018;Singular;B-004;Redonda;Pressao;23.6;NA;NA;Não;33.33;23.9;Sim;Sim;0.1
C-0208;CT-018;Duplo;B-002;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Não;Sim;0.023
C-0209;CT-018;Duplo;B-002;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Não;Sim;0.022
C-0213;CT-018;Duplo;B-002;Redonda;Rosca;22.35;NA;NA;Não;NA;NA;Não;Sim;0.159
C-0214;CT-018;Duplo;B-002;Redonda;Rosca;19.05;NA;NA;Não;NA;NA;Não;Sim;0.059
C-0215;CT-018;Duplo;B-002;Redonda;Rosca;17.53;NA;NA;Não;NA;NA;Não;Sim;0.033
C-0242;CT-018;Singular;B-005;Redonda;Conjugada;20;NA;NA;Não;32;NA;Sim;Sim;0.08
C-0243;CT-019;NA;B-012;NA;NA;36;88.9;50.8;Não;NA;NA;Não;Sim;4.034
C-0245;CT-018;Singular;B-004;Redonda;Pressao;20.5;NA;NA;Não;26.9;20.6;Sim;Sim;0.1
C-0255;CT-018;Singular;B-005;Redonda;Rosca;25;NA;NA;Não;NA;NA;Sim;Sim;0.127
C-0257;CT-019;NA;B-012;NA;NA;27.2;77.77;42.88;Não;NA;NA;Não;Sim;1.63
C-0258;CT-018;Singular;B-005;Redonda;Rosca;20.9;NA;NA;Não;NA;NA;Sim;Sim;0.192
C-0260;CT-018;Singular;B-005;Redonda;Rosca;25.4;NA;NA;Não;NA;NA;Sim;Sim;0.186
C-0262;CT-018;Singular;B-009;Redonda;Rosca;20.6;NA;NA;Não;NA;NA;Sim;Sim;0.158
C-0269;CT-019;NA;B-012;NA;NA;10.55;120.7;69.9;Não;NA;NA;Não;Sim;3.361
C-0274;CT-018;Singular;B-005;Redonda;Rosca;39.33;NA;NA;Não;40;NA;Sim;Sim;0.378
C-0278;CT-018;Duplo;B-002;Redonda;Rosca;14.22;NA;NA;Não;NA;NA;Não;Sim;0.015
C-0307;CT-019;NA;B-013;NA;NA;9999;57.15;27.76;Não;NA;NA;Não;Sim;1.05
C-0348;CT-018;Singular;B-005;Redonda;Rosca;19.1;NA;NA;Não;NA;NA;Sim;Sim;0.045
C-0356;CT-018;Singular;B-005;Redonda;Pressao;8;NA;NA;Não;35;30;Sim;Sim;0.12
C-0358;CT-018;Singular;B-009;Redonda;Rosca;38.4;NA;NA;Não;NA;NA;Sim;Sim;0.154
C-0387;CT-019;NA;B-012;NA;NA;24;58.72;30.18;Não;NA;NA;Não;Sim;0.939
C-0393;CT-018;Singular;B-005;Hexagonal;Pressao;24;NA;NA;Não;22;12.24;Sim;Sim;0.06
C-0405;CT-018;Singular;B-005;Redonda;Pressao;10;NA;NA;Não;30;20;Sim;Sim;0.05
C-0411;CT-018;Duplo;B-002;Redonda;Rosca;17.53;NA;NA;Não;NA;NA;Não;Sim;0.034
C-0425;CT-018;Singular;B-004;Redonda;Pressao;8.73;NA;NA;Não;15.88;12.29;Não;Sim;0.005
C-0426;CT-018;Singular;B-004;Redonda;Pressao;6;NA;NA;Não;22;18.2;Não;Sim;0.023
C-0432;CT-018;Singular;B-004;Redonda;Rosca;22.23;NA;NA;Não;38.1;NA;Não;Sim;0.063
C-0474;CT-018;Singular;B-005;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Não;Sim;0.054
C-0475;CT-018;Singular;B-005;Redonda;Rosca;15.8;NA;NA;Não;NA;NA;Sim;Sim;0.05
C-0483;CT-018;Singular;B-004;Redonda;Rosca;12;NA;NA;Não;NA;NA;Não;Sim;0.08
C-0486;CT-018;Singular;B-004;Redonda;Pressao;25.4;NA;NA;Não;38.1;26.9;Sim;Sim;0.114
C-0493;CT-018;Singular;B-004;Redonda;Rosca;16;NA;NA;Não;NA;NA;Não;Sim;0.015
C-0495;CT-018;Singular;B-005;Hexagonal;Rosca;25.4;NA;NA;Não;NA;NA;Não;Sim;0.083
C-0497;CT-018;Singular;B-005;Redonda;Rosca;16;NA;NA;Não;NA;NA;Sim;Sim;0.052
C-0499;CT-018;Singular;B-005;Hexagonal;Rosca;29.3;NA;NA;Não;NA;NA;Não;Sim;0.082
C-0502;CT-018;Duplo;B-002;Hexagonal;Rosca;31.9;NA;NA;Não;NA;NA;Não;Sim;0.269
C-0506;CT-018;Singular;B-005;Redonda;Rosca;24;NA;NA;Não;NA;NA;Sim;Sim;0.093
C-0513;CT-019;NA;9999;NA;NA;35;77.77;57.94;Não;NA;NA;Não;Sim;2.14
C-0520;CT-018;Singular;B-005;Redonda;Pressao;9.5;NA;NA;Não;25;18;Sim;Sim;0.021
C-0533;CT-018;Singular;B-010;Redonda;Rosca;16;NA;NA;Não;NA;NA;Sim;Sim;0.026
C-0534;CT-018;Singular;B-005;Redonda;Rosca;21.6;NA;NA;Não;NA;NA;Sim;Sim;0.217
C-0539;CT-018;Singular;B-005;Hexagonal;Rosca;14.17;NA;NA;Não;NA;NA;Sim;Sim;0.003
C-0544;CT-018;Duplo;B-002;Redonda;Rosca;22.35;NA;NA;Não;33.38;NA;Não;Sim;0.129
C-0547;CT-018;Duplo;B-002;Redonda;Rosca;14.3;NA;NA;Não;NA;NA;Não;Sim;0.012
C-0548;CT-018;Duplo;B-002;Redonda;Rosca;17.53;NA;NA;Não;NA;NA;Não;Sim;0.059
C-0549;CT-018;Duplo;B-002;Redonda;Rosca;17.53;NA;NA;Não;NA;NA;Não;Sim;0.059
C-0555;CT-019;NA;B-012;NA;NA;27.6;77.8;42.9;Não;NA;NA;Não;Sim;1.612
C-0556;CT-018;Duplo;B-002;Redonda;Rosca;17.53;NA;NA;Não;18.24;NA;Não;Sim;0.059
C-0569;CT-018;Singular;B-005;Redonda;Pressao;15;NA;NA;Não;25;22.5;Não;Sim;0.037
C-0575;CT-018;Singular;9999;Redonda;Rosca;21.4;NA;NA;Não;NA;NA;Sim;Sim;0.075
C-0623;CT-018;Duplo;B-002;Redonda;Rosca;15.8;NA;NA;Não;NA;NA;Não;Sim;0.021
C-0624;CT-018;Duplo;B-002;Redonda;Rosca;19.3;NA;NA;Não;20;NA;Não;Sim;0.06
C-0641;CT-019;NA;B-012;NA;NA;16.9;106.38;61.93;Não;NA;NA;Não;Sim;0.304
C-0643;CT-019;NA;B-012;NA;NA;20.07;120.65;69.85;Não;NA;NA;Não;Sim;3.361
C-0678;CT-018;Singular;B-005;Redonda;Rosca;20;NA;NA;Não;NA;NA;Sim;Sim;0.112
C-0697;CT-018;Duplo;B-002;Redonda;Rosca;14.2;NA;NA;Não;NA;NA;Não;Sim;0.014
C-0699;CT-018;Singular;B-011;Redonda;Pressao;17.5;NA;NA;Não;22;18;Não;Sim;0.044
C-0700;CT-018;Duplo;B-002;Hexagonal;Rosca;36.6;NA;NA;Não;NA;NA;Não;Sim;0.265
C-0701;CT-018;Duplo;B-002;Hexagonal;Rosca;37.6;NA;NA;Não;NA;NA;Não;Sim;0.194
C-0723;CT-018;Singular;B-004;Redonda;Rosca;16.6;NA;NA;Não;NA;NA;Sim;Sim;0.076
C-0755;CT-018;Singular;B-005;Redonda;Rosca;18.8;NA;NA;Não;32;NA;Sim;Sim;2.62
C-0770;CT-020;NA;9999;NA;NA;21.5;94;NA;Não;NA;NA;Não;Sim;0.987
C-0780;CT-020;NA;9999;NA;NA;21.5;76.2;NA;Não;NA;NA;Não;Sim;0.577
C-0791;CT-018;Duplo;B-002;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Não;Sim;0.034
C-0793;CT-019;NA;B-012;NA;NA;54.7;88.9;50.8;Não;NA;NA;Não;Sim;3.815
C-0796;CT-020;NA;9999;NA;NA;21.2;94;NA;Não;NA;NA;Não;Sim;0.987
C-0804;CT-019;NA;B-012;NA;NA;12.5;106.4;61.9;Não;NA;NA;Não;Sim;2.805
C-0816;CT-018;Singular;B-005;Redonda;Rosca;18.54;NA;NA;Não;NA;NA;Sim;Sim;0.071
C-0817;CT-018;Singular;B-005;Redonda;Rosca;18.54;NA;NA;Não;31.75;NA;Não;Sim;0.069
C-0837;CT-018;Singular;B-004;Redonda;Conjugada;20;NA;NA;Não;25;NA;Não;Sim;0.059
C-0854;CT-018;Singular;B-004;Redonda;Pressao;11.5;NA;NA;Não;25.4;19;Não;Sim;0.041
C-0869;CT-019;NA;B-012;NA;NA;11.95;77.8;42.9;Não;NA;NA;Não;Sim;1.112
C-0893;CT-018;Singular;B-005;Redonda;Rosca;25;NA;NA;Não;NA;NA;Sim;Sim;0.31
C-0899;CT-020;NA;9999;NA;NA;8.3;76.2;NA;Não;NA;NA;Não;Sim;0.426
C-0920;CT-018;Singular;B-009;Redonda;Conjugada;17;NA;NA;Não;28.8;NA;Não;Sim;0.077
C-0930;CT-018;Singular;9999;Redonda;Rosca;24;NA;NA;Não;NA;NA;Sim;Sim;0.122
C-0965;CT-018;Singular;B-005;Redonda;Rosca;39.6;NA;NA;Não;50;NA;Sim;Sim;0.5
C-1029;CT-018;Singular;B-005;Redonda;Rosca;45;NA;NA;Não;NA;NA;Sim;Sim;0.411
C-1045;CT-018;Duplo;B-002;Hexagonal;Rosca;25.66;NA;NA;Não;NA;NA;Não;Sim;0.01
C-1065;CT-019;NA;B-012;NA;NA;27.4;69.85;35.71;Não;NA;NA;Não;Sim;1.494
C-1089;CT-018;Singular;B-009;Redonda;Conjugada;12.5;NA;NA;Não;18;NA;Não;Sim;0.037
C-1117;CT-018;Singular;B-005;Redonda;Rosca;38.1;NA;NA;Não;50.8;NA;Não;Sim;0.523
C-1123;CT-018;Singular;B-009;Redonda;Rosca;15.5;NA;NA;Não;NA;NA;Não;Sim;0.149
C-1124;CT-018;Singular;B-009;Redonda;Rosca;15.5;NA;NA;Não;NA;NA;Não;Sim;0.08
C-1127;CT-018;Singular;B-009;Redonda;Rosca;15.5;NA;NA;Não;NA;NA;Não;Sim;0.075
C-1171;CT-018;Singular;B-005;Redonda;Rosca;20.05;NA;NA;Não;44.45;NA;Não;Sim;0.149
C-1225;CT-018;Singular;B-004;Redonda;Rosca;12.7;NA;NA;Não;NA;NA;Não;Sim;NA
C-1231;CT-018;Singular;B-004;Redonda;Rosca;12.7;NA;NA;Não;NA;NA;Não;Sim;0.015
C-1233;CT-018;Singular;B-004;Redonda;Rosca;12.7;NA;NA;Não;NA;NA;Não;Sim;0.058
C-1256;CT-018;Singular;B-005;Redonda;Pressao;13;NA;NA;Não;40;29;Sim;Sim;0.14
C-1257;CT-018;Singular;B-005;Redonda;Pressao;10;NA;NA;Não;25;18;Não;Sim;0.06
C-1259;CT-018;Singular;B-004;Redonda;Rosca;15;NA;NA;Não;NA;NA;Não;Sim;0.215
C-1308;CT-020;NA;9999;NA;NA;12.5;86;NA;Não;NA;NA;Não;Sim;0.454
C-1340;CT-018;Singular;B-005;Redonda;Pressao;18.3;NA;NA;Não;44.45;40.13;Sim;Sim;0.146
C-1410;CT-018;Singular;B-004;Redonda;Conjugada;22.23;NA;NA;Não;31.75;NA;Não;Sim;0.005
C-1411;CT-018;Singular;B-004;Redonda;Conjugada;18.3;NA;NA;Não;25;NA;Não;Sim;0.057
C-1417;CT-018;Singular;B-004;Redonda;Rosca;12.7;NA;NA;Não;NA;NA;Não;Sim;0.034
C-1426;CT-018;Singular;B-005;Redonda;Pressao;17.53;NA;NA;Não;31.75;24.61;Sim;Sim;0.071
C-1431;CT-018;Singular;B-005;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Sim;Sim;0.1
C-1489;CT-018;Singular;B-004;Redonda;Conjugada;15.7;NA;NA;Não;25;NA;Não;Sim;0.04
C-1496;CT-019;NA;B-012;NA;NA;30;69.85;35.71;Não;NA;NA;Não;Sim;1.023
C-1503;CT-018;Singular;B-005;Redonda;Rosca;26;NA;NA;Não;NA;NA;Sim;Sim;0.455
C-1505;CT-018;Singular;B-004;Redonda;Pressao;4.76;NA;NA;Não;25.4;22.22;Não;Sim;0.045
C-1506;CT-018;Singular;B-004;Redonda;Pressao;9.53;NA;NA;Não;22.22;18.26;Não;Sim;0.021
C-1507;CT-018;Singular;B-005;Redonda;Rosca;19;NA;NA;Não;NA;NA;Sim;Sim;0.15
C-1535;CT-018;Singular;B-005;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Sim;Sim;0.052
C-1536;CT-018;Singular;B-005;Redonda;Rosca;15.75;NA;NA;Não;NA;NA;Sim;Sim;0.052
C-1537;CT-018;Singular;B-005;Redonda;Pressao;16.76;NA;NA;Não;31.75;27.43;Sim;Sim;0.084
C-1557;CT-018;Singular;B-004;Redonda;Conjugada;38.1;NA;NA;Não;20.64;NA;Não;Sim;0.091
C-1579;CT-018;Singular;B-004;Redonda;Conjugada;31.75;NA;NA;Não;25.4;NA;Sim;Sim;0.114
C-1697;CT-018;Singular;B-005;Redonda;Pressao;20.5;NA;NA;Não;25;17.8;Sim;Sim;0.066
C-1698;CT-018;Singular;B-005;Redonda;Pressao;20.5;NA;NA;Não;28;21.8;Sim;Sim;0.073
C-1699;CT-018;Singular;B-005;Redonda;Pressao;25.5;NA;NA;Não;35;23.8;Sim;Sim;0.083
C-1707;CT-018;Singular;B-005;Redonda;Pressao;23;NA;NA;Não;45;34.9;Sim;Sim;0.182
C-1708;CT-018;Singular;B-005;Redonda;Pressao;11;NA;NA;Não;30;27.7;Não;Sim;0.052
C-1725;CT-018;Singular;B-005;Redonda;Rosca;23.11;NA;NA;Não;NA;NA;Não;Sim;0.24
C-1729;CT-018;Singular;B-005;Redonda;Rosca;50.4;NA;NA;Não;NA;NA;Sim;Sim;0.223
C-1731;CT-018;Singular;B-004;Redonda;Pressao;8.89;NA;NA;Não;25.4;12.29;Não;Sim;NA
C-1764;CT-018;Singular;B-004;Redonda;Conjugada;10;NA;NA;Não;14;NA;Não;Sim;0.009
C-1780;CT-018;Singular;B-005;Redonda;Pressao;20;NA;NA;Não;25;15;Sim;Sim;0.06
C-1833;CT-018;Singular;B-005;Redonda;Pressao;12.3;NA;NA;Não;60;52.37;Sim;Sim;0.223
C-1839;CT-018;Singular;B-005;Redonda;Rosca;15.75;NA;NA;Não;25.4;NA;Sim;Sim;0.055
C-1862;CT-018;Singular;B-004;Redonda;Conjugada;19;NA;NA;Não;25;NA;Não;Sim;0.091
C-1919;CT-019;NA;B-012;NA;NA;35;58.72;30.18;Não;NA;NA;Não;Sim;1.96
C-1924;CT-018;Singular;B-004;Redonda;Rosca;15;NA;NA;Não;NA;NA;Não;Sim;0.09
C-1925;CT-018;Singular;B-005;Redonda;Rosca;20;NA;NA;Não;NA;NA;Sim;Sim;0.197
C-1928;CT-018;Singular;B-005;Redonda;Rosca;15.8;NA;NA;Não;NA;NA;Sim;Sim;0.079
C-1970;CT-018;Singular;B-004;Redonda;Rosca;16;NA;NA;Não;NA;NA;Não;Sim;0.032
C-1973;CT-018;Singular;B-004;Redonda;Rosca;19.05;NA;NA;Não;31.75;NA;Não;Sim;0.05
C-1974;CT-018;Singular;B-004;Redonda;Rosca;31.75;NA;NA;Não;NA;NA;Não;Sim;2.375
C-1988;CT-018;Singular;B-005;Redonda;Rosca;16;NA;NA;Não;NA;NA;Não;Sim;0.055
C-1990;CT-018;Singular;B-005;Redonda;Rosca;16;NA;NA;Não;NA;NA;Sim;Sim;0.2
